北白川 , 総計：2
ますたに 135.790429444444,35.028526111111 point
天下一品銀閣寺店 135.788504444444,35.028712222222 point

サッポロ , 総計：1
サッポロラーメンどさん娘 135.199035555556,35.535984444444 point

たく , 総計：1
どんたく屋八幡店 135.707826666667,34.855504166667 point

高安 , 総計：1
高安 135.785118888889,35.045088055556 point

北大路 , 総計：1
天下一品本店 135.793204166667,35.163801388889 point

横綱 , 総計：9
ラーメン横綱醍醐店 135.812038611111,34.955090000000 point
ラーメン横綱事務所 135.694213611111,34.983801666667 point
ラーメン横綱高野店 135.782788611111,35.042449444444 point
ラーメン横綱桂五条店 135.694213611111,34.983801666667 point
ラーメン横綱南インター店 135.745167222222,34.949599166667 point
ラーメン横綱五条店 135.748445277778,34.996053611111 point
ラーメン横綱　桂麺房 135.702668333333,34.979715833333 point
ラーメン横綱吉祥院店 135.726810833333,34.970666666667 point
ラーメン横綱久御山店 135.744194166667,34.896019722222 point

寺田店 , 総計：1
第一旭寺田店 135.777193055556,34.856226944444 point

百万遍 , 総計：3
加藤屋百万遍にぼ次朗 135.778608333333,35.028586944444 point
梟百万遍店 135.77911651,35.02927033 point
新福菜館百万遍店 135.781307777778,35.028723055556 point

龍龍軒 , 総計：1
龍龍軒本店 135.687038333333,34.933611666667 point

同志社 , 総計：1
株式会社天下一品　同志社前店 135.778301944444,34.805290000000 point

医大前 , 総計：1
新福菜館府立医大前店 135.768914722222,35.023440277778 point

京都ラーメン , 総計：2
京都拉麺小路 135.75795611547,34.986143816377 point
京都ラーメン研究所 135.750395277778,34.984185277778 point

本店 , 総計：8
天下一品本店 135.793204166667,35.163801388889 point
五目麺屋彩美庵伏見本店 135.764975833333,34.933223888889 point
金ちゃんラーメン大徳寺総本店 135.746075277778,35.040955277778 point
ぽっぽや西院本店 135.724386111111,34.999033888889 point
無鉄砲本店 135.844473055556,34.721750000000 point
新福菜館本店 135.762366388889,34.986888055556 point
第一旭本店 135.760488888889,34.987718333333 point
龍龍軒本店 135.687038333333,34.933611666667 point

宝屋 , 総計：4
宝屋先斗町店 135.747955277778,35.009309722222 point
宝屋西小路五条店 135.725980277778,34.994336944444 point
宝屋伏見店 135.758279444444,34.932751666667 point
宝屋京都駅ビル 135.758789166667,34.985935277778 point

とんこつ , 総計：1
ちゃぶ屋とんこつらぁ麺ＣＨＡＢＵＴＯＮ 135.749338611111,34.993090000000 point

山頭火 , 総計：1
らーめん山頭火京都三条店 135.778040555556,34.990405555556 point

大将軍 , 総計：1
ラーメン將陽 135.731426666667,35.022670555556 point

天天有 , 総計：6
天天有福知山店 135.183183611111,35.273198611111 point
天天有長岡京店 135.692148888889,34.935070000000 point
天天有葛野大路店 135.719958611111,35.000464166667 point
天天有桂川街道店 135.709573333333,34.981132500000 point
天天有伏見大手筋店 135.761940277778,34.932560000000 point
天天有 135.759143888889,35.003081111111 point

てんぐ , 総計：2
てんぐ　西陣店 135.747263888889,35.030925833333 point
ラーメン京都てんぐ 135.707365000000,35.020098333333 point

長浜らーめん , 総計：1
長浜ラーメン 134.936065277778,35.326596111111 point

一番星 , 総計：1
一番星 135.785418888889,35.016743888889 point

萬福 , 総計：1
ラーメン専門店　萬福 135.764346666667,34.961190555556 point

白梅町 , 総計：4
天下一品白梅町店 135.756741,35.0296120 point
たかばし　白梅町店 135.731160000000,35.028020000000 point
天下一品白梅町店 135.73328621407,35.027302996216 point
天下一品白梅町店 135.733112500000,35.027789722222 point

新福菜館 , 総計：7
新福菜館東土川店 135.721821388889,34.947343611111 point
新福菜館三条店 135.752575000000,35.008355555556 point
新福菜館百万遍店 135.781307777778,35.028723055556 point
新福菜館天神川店 135.714367222222,35.003525000000 point
新福菜館本店 135.762366388889,34.986888055556 point
新福菜館府立医大前店 135.768914722222,35.023440277778 point
新福菜館河原町店 135.747955277778,35.009309722222 point

ラーメン銀閣 , 総計：1
ラーメン銀閣 135.745000277778,34.942200000000 point

高倉二条 , 総計：1
麺や高倉二条 135.76245718,35.01355242 point

大豊ラーメン , 総計：2
大豊ラーメン佛大前店 135.738609166667,35.043221388889 point
大豊ラーメン 135.747955277778,35.009309722222 point

西小路 , 総計：1
宝屋西小路五条店 135.725980277778,34.994336944444 point

東龍 , 総計：2
東龍河原町店 135.747955277778,35.009309722222 point
東龍 135.792068055556,35.031720277778 point

タコ焼き , 総計：2
ミスターヤングメン 135.766584722222,35.004997500000 point
大とら 135.749338611111,34.993090000000 point

銀閣寺 , 総計：2
らーめん川藤屋銀閣寺店 135.792645833333,35.022587777778 point
天下一品銀閣寺店 135.788504444444,35.028712222222 point

吟醸ラーメン久保田 , 総計：1
吟醸らーめん久保田 135.755253055556,34.992945555556 point

あかつき , 総計：1
あかつき 135.791323611111,35.031156388889 point

夜鳴き , 総計：1
夜鳴きや 135.824323333333,34.979462500000 point

スープ , 総計：1
スープ食道宝京都店 135.750877500000,34.938175555556 point

大王老麺 , 総計：1
大王老麺烏丸五条店 135.749338611111,34.993090000000 point

